169,45,25
170,81,115
171,55,85
172,24,14
173,7,44
175,34,36
176,31,25
177,51,71
178,66,32
179,5,29
180,15,80
181,11,74
182,66,31
183,2,7
184,58,25
185,78,107
186,72,68
187,43,102
188,27,67
189,3,99
190,72,76
191,12,69
192,70,67
193,44,38
194,18,109
195,65,25
196,58,27
197,64,66
198,36,93
199,57,98
200,81,116
201,16,85
202,37,109
203,24,13
204,68,48
205,78,109
206,9,61
207,17,91
208,4,67
209,25,6
210,33,69
211,32,74
212,14,79
213,76,113
214,34,33
215,48,50
216,44,66
217,33,43
218,81,78
219,7,45
220,23,10
221,66,33
222,67,44
223,37,103
224,42,12
225,18,105
226,13,88
227,22,67
228,56,91
229,48,47
230,72,69
231,27,26
232,29,50
233,27,25
234,12,42
235,44,28
236,18,108
237,69,59
238,75,81
239,46,33
240,34,35
241,14,41
242,4,25
243,4,28
244,72,112
245,9,60
246,74,40
247,78,108
248,4,66
249,66,25
250,33,68
251,41,67
252,34,31
253,51,69
254,6,67
255,37,105
256,23,3
257,34,32
258,27,28
259,45,29
261,35,84
262,6,25
263,33,42
264,13,85
265,67,45
266,2,4
267,30,58
269,31,29
270,10,67
271,56,90
272,23,15
273,12,71
274,66,67
275,63,101
276,25,8
277,79,25
278,63,102
279,4,37
280,3,101
281,69,58
282,34,34
283,25,22
284,64,28
285,66,34
287,3,102
288,28,45
289,47,44
290,60,115
291,72,42
292,35,86
293,45,23
294,60,78
295,8,52
296,37,110
297,25,20
298,36,96
299,39,27
300,30,62
301,10,65
302,59,114
303,51,55
304,32,73
305,21,78
306,51,42
307,75,70
308,54,80
309,39,25
310,63,100
311,43,99
312,9,56
313,78,110
314,4,38
315,44,25
316,64,25
317,3,100
318,30,61
319,79,67
320,44,26
321,16,77
322,46,34
323,39,67
324,9,63
325,27,39
326,45,67
327,55,77
328,29,47
329,12,55
330,45,24
331,48,51
332,28,44
333,8,48
334,44,67
335,12,111
336,25,3
337,73,85
338,29,51
339,23,11
340,25,21
341,24,16
342,47,45
343,35,83
344,21,115
345,9,59
346,74,79
347,72,75
348,52,88
349,26,18
350,18,110
351,38,67
352,6,35
353,5,24
354,36,95
355,44,37
356,33,112
357,69,56
358,46,35
359,46,32
361,38,65
362,30,64
363,4,30
364,50,74
365,31,23
366,41,130
367,80,114
368,57,107
369,12,112
370,21,116
371,12,75
372,61,67
373,12,76
374,21,54
375,19,67
376,69,63
377,69,60
378,57,104
379,35,82
380,36,92
381,72,55
382,40,114
383,42,7
384,51,112
385,53,41
386,49,65
387,30,57
388,62,9
389,46,25
390,5,25
391,44,30
392,46,67
393,71,74
394,71,72
395,6,31
396,64,26
397,76,85
398,68,52
399,62,17
400,65,23
401,65,67
402,78,106
403,78,105
404,36,94
405,62,4
406,34,67
407,31,67
408,79,27
409,33,75
410,37,97
411,69,61
412,70,65
413,57,105
414,49,67
415,30,60
416,33,111
417,27,38
418,52,87
419,19,25
420,51,68
421,46,36
422,11,73
423,29,53
424,37,106
425,51,75
426,18,107
427,27,37
428,31,24
429,2,17
430,6,34
431,2,9
432,71,73
433,17,89
434,66,35
435,32,72
436,44,39
437,53,79
438,72,71
439,51,111
440,64,38
441,20,114
442,77,89
443,43,101
444,50,73
445,11,72
446,78,104
447,78,98
448,54,70
449,27,30
450,65,29
451,60,54
452,60,116
453,48,53
454,4,39
455,34,25
456,69,64
457,42,17
458,42,4
459,6,32
460,64,30
461,33,55
462,42,9
463,57,108
464,52,85
465,15,70
466,56,89
468,25,19
469,19,27
470,46,31
471,18,98
472,33,71
473,61,130
474,37,107
475,29,52
476,18,106
477,6,36
478,58,67
479,25,5
480,30,59
481,64,37
482,73,87
483,5,23
484,13,87
485,2,12
486,18,104
487,9,64
488,62,7
489,9,58
490,64,39
491,57,109
492,12,68
493,43,100
494,63,99
495,50,72
496,65,24
497,73,88
498,64,67
499,5,67
500,57,106
501,72,111
502,57,110
503,37,108
504,22,130
505,62,12
506,81,54
507,17,90
508,4,26
509,66,36
510,33,76
511,51,76
512,6,33
513,1,67
514,1,130
