Transplant & Transfusion Medicine,LIFECODES,LIFECODES LSA MIC,,Australia,Diagnostic Solutions
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Serology Products,,Australia,"Gen-Probe GTI Diagnostics, Inc."
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Platelet Antibody Detection Products,,Australia,"Gen-Probe GTI Diagnostics, Inc."
Transplant & Transfusion Medicine,LIFECODES,LIFECODES HPA Genotyping,,Australia,"Gen-Probe GTI Diagnostics, Inc."
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Donor Screening,,Australia,"Gen-Probe GTI Diagnostics, Inc."
Coagulation Products,LIFECODES,LIFECODES Coagulation Products,,Australia,"Gen-Probe GTI Diagnostics, Inc."
Transplant & Transfusion Medicine,LIFECODES,Gen-Probe Fluoroanalyzer,,Austria,Inno-Train Diagnostics GmbH
Transplant & Transfusion Medicine,LIFECODES,LIFECODES HLA Genotyping,SSO Typing,Austria,Inno-Train Diagnostics GmbH
Transplant & Transfusion Medicine,LIFECODES,LIFECODES HLA Genotyping,SSP Typing,Austria,Gen-Probe Belgium BVBA
Transplant & Transfusion Medicine,LIFECODES,LIFECODES KIR Genotyping,,Austria,Inno-Train Diagnostics GmbH
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Red Cell Genotyping,Luminex-based Typing,Austria,Inno-Train Diagnostics GmbH
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Red Cell Genotyping,E-Gel based Typing,Austria,Gen-Probe Belgium BVBA
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Screen & Identification ,Bead-based,Austria,Inno-Train Diagnostics GmbH
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Screen & Identification,ELISA-based,Austria,Gen-Probe Belgium BVBA
Transplant & Transfusion Medicine,LIFECODES,LIFECODES LSA Single Antigen,,Austria,
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Donor Specific Antibody,Bead-based,Austria,Inno-Train Diagnostics GmbH
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Donor Specific Antibody,ELISA-based,Austria,Gen-Probe Belgium BVBA
Transplant & Transfusion Medicine,LIFECODES,LIFECODES LSA MIC,,Austria,Inno-Train Diagnostics GmbH
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Serology Products,,Austria,Gen-Probe Belgium BVBA
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Platelet Antibody Detection Products,,Austria,Gen-Probe Belgium BVBA
Transplant & Transfusion Medicine,LIFECODES,LIFECODES HPA Genotyping,,Austria,Gen-Probe Belgium BVBA
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Donor Screening,,Austria,Gen-Probe Belgium BVBA
Coagulation Products,LIFECODES,LIFECODES Coagulation Products,,Austria,Gen-Probe Belgium BVBA
Transplant & Transfusion Medicine,LIFECODES,Gen-Probe Fluoroanalyzer,,Bahrain,Al-Zahrawi Medical Services Co. 
Transplant & Transfusion Medicine,LIFECODES,LIFECODES HLA Genotyping,SSO Typing,Bahrain,Al-Zahrawi Medical Services Co. 
Transplant & Transfusion Medicine,LIFECODES,LIFECODES HLA Genotyping,SSP Typing,Bahrain,"Gen-Probe GTI Diagnostics, Inc."
Transplant & Transfusion Medicine,LIFECODES,LIFECODES KIR Genotyping,,Bahrain,Al-Zahrawi Medical Services Co. 
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Red Cell Genotyping,Luminex-based Typing,Bahrain,Al-Zahrawi Medical Services Co. 
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Red Cell Genotyping,E-Gel based Typing,Bahrain,"Gen-Probe GTI Diagnostics, Inc."
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Screen & Identification ,Bead-based,Bahrain,Al-Zahrawi Medical Services Co. 
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Screen & Identification,ELISA-based,Bahrain,"Gen-Probe GTI Diagnostics, Inc."
Transplant & Transfusion Medicine,LIFECODES,LIFECODES LSA Single Antigen,,Bahrain,Al-Zahrawi Medical Services Co. 
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Donor Specific Antibody,Bead-based,Bahrain,Al-Zahrawi Medical Services Co. 
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Donor Specific Antibody,ELISA-based,Bahrain,"Gen-Probe GTI Diagnostics, Inc."
Transplant & Transfusion Medicine,LIFECODES,LIFECODES LSA MIC,,Bahrain,Al-Zahrawi Medical Services Co. 
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Serology Products,,Bahrain,"Gen-Probe GTI Diagnostics, Inc."
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Platelet Antibody Detection Products,,Bahrain,"Gen-Probe GTI Diagnostics, Inc."
